"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-06","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20681.3","","","","1"
"2023-07","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20565.9","","","","1"
"2023-08","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20552.4","","","","1"
"2023-09","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20465.6","","","","1"
"2023-10","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20526.1","","","","1"
"2023-11","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20509.3","","","","1"
"2023-12","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20450.9","","","","1"
"2024-01","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20246.6","","","","1"
"2024-02","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20369.9","","","","1"
"2024-03","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20411.5","","","","1"
"2024-04","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20583.5","","","","1"
"2024-05","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20925.4","","","","1"
"2024-06","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","21048.5","","","","1"
"2024-07","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20915.6","","","","1"
"2024-08","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","20887.4","","","","1"
